date,experience_rating,would_revisit_rating,comment,cus_no,poi_code
2022-11-09,4,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",268,159
2023-12-22,4,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",253,173
2014-07-20,4,3,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",67,182
2008-10-19,4,4,Good food for the price,322,54
2007-09-16,3,4,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",63,137
2021-07-10,4,4,Pog,91,103
2007-02-03,3,4,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",345,73
2012-09-24,4,4,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",296,80
2024-12-18,4,3,Great time!,248,161
2015-01-11,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",108,146
2014-12-21,4,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",294,142
2017-02-15,4,4,Great food,234,91
2017-04-27,4,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",234,146
2005-11-19,3,4,Bringing my gf here next time hehe,254,222
2023-11-01,4,4,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",73,162
2021-07-30,4,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",219,123
2015-02-04,3,4,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",213,39
2021-09-04,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",53,130
2024-12-22,4,4,Pog,89,168
2016-11-19,3,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",312,77
2020-05-12,3,3,"Fantastic dining experience! The ambiance was warm and inviting, the staff were attentive, and the food was superb. Highly recommend this place and can't wait to return!",288,231
2019-01-17,4,3,Great time!,253,135
2021-09-19,4,3,Pog,350,102
2023-05-09,3,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",257,167
2019-03-09,3,4,Good food for the price,203,25
2011-07-07,4,4,Good food for the price,339,144
2016-06-06,4,4,Pog,190,157
2006-05-27,3,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",220,146
2022-05-02,3,3,Bringing my gf here next time hehe,172,98
2020-07-27,4,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",143,82
2022-01-14,4,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",35,135
2019-04-25,4,4,Pog,125,90
2023-08-22,4,3,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",234,106
2009-02-04,3,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",164,93
2015-02-09,4,3,Good food for the price,249,206
2023-04-06,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",135,107
2006-11-01,4,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",358,104
2008-03-11,3,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",36,49
2020-07-02,3,3,"My experience here was fairly positive. The setting was pleasant, and the staff were polite. The menu offered a reasonable selection, and the dishes were fine. A solid option for dining out.",265,212
2006-12-15,4,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",259,155
2007-12-13,3,3,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",92,118
2009-04-05,3,3,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",119,221
2017-09-06,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",260,164
2024-04-27,4,4,Great service!,226,66
2012-12-10,3,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",202,49
2020-09-23,4,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",364,225
2013-03-03,4,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",138,22
2019-11-04,3,4,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",18,99
2023-11-26,3,4,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",155,101
2022-02-18,3,3,Pog,285,98
2017-05-19,4,4,Great food,77,78
2015-05-14,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",241,199
2011-11-05,3,4,Great service!,61,136
2021-09-29,3,4,Great service!,73,109
2020-05-30,4,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",175,62
2024-06-18,3,4,"Fantastic dining experience! The ambiance was warm and inviting, the staff were attentive, and the food was superb. Highly recommend this place and can't wait to return!",251,137
2024-07-19,3,3,Good food for the price,21,96
2015-06-04,3,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",45,236
2019-08-22,3,3,Bringing my gf here next time hehe,200,185
2020-11-09,3,4,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",207,219
2008-12-25,4,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",283,141
2011-10-31,3,3,Bringing my gf here next time hehe,73,230
2011-02-19,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",39,200
2016-04-30,4,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",236,75
2018-09-12,3,4,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",86,44
2007-06-15,3,4,"My experience here was fairly positive. The setting was pleasant, and the staff were polite. The menu offered a reasonable selection, and the dishes were fine. A solid option for dining out.",252,92
2012-04-11,3,3,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",133,224
2011-12-22,4,4,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",160,176
2006-10-04,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",32,48
2015-09-21,4,4,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",268,189
2016-08-29,3,3,"This restaurant is a gem. The atmosphere is elegant, the staff are friendly, and the food is exceptional. A highly recommended spot for a great meal. Will be back for sure!",36,98
2011-05-26,4,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",293,73
2013-05-18,3,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",257,12
2016-08-27,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",146,120
2006-07-03,3,3,Great service!,110,4
2010-03-16,4,3,"Dined here recently and loved it. The setting was charming, and the service was top-notch. The food was flavorful and well-prepared. Definitely a place I recommend and will revisit!",327,65
2021-12-24,4,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",337,90
2023-04-12,4,3,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",378,137
2023-06-09,3,3,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",353,105
2024-03-26,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",338,140
2015-09-16,3,4,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",79,21
2009-12-06,4,3,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",13,209
2013-11-02,3,3,"Enjoyed a great dinner here. The atmosphere was pleasant, and the staff were courteous. The menu had something for everyone, and our meals were delicious. Will definitely visit again!",265,142
2010-12-08,4,4,Great food,193,63
2007-11-13,4,3,"Had a lovely meal here. The ambiance was relaxing, the service was excellent, and the food was delicious. Highly recommend this restaurant and will definitely return!",137,59
2013-03-05,4,4,"I dined here recently and had a pleasant experience. The atmosphere was nice, and the staff were generally attentive. The menu had a decent variety, and the food was good. Overall, it was an enjoyable visit.",341,204
2016-06-18,4,4,"Had an okay meal here. The atmosphere was pleasant, and the service was fine. The food was average but decent overall. It's a decent spot for a meal.",59,17
2008-11-03,4,3,"Dining here was a decent experience. The ambiance was fine, and the staff were friendly. The food was good, though not exceptional. It's a solid choice for a meal.",21,125
2019-12-22,3,4,"Great dining experience! The decor was modern and stylish, the staff were attentive, and the food was fantastic. A wonderful place to eat that I highly recommend!",205,109
2016-01-16,3,3,Great food,13,98
2021-05-25,4,4,Great time!,133,152
2019-02-25,4,3,Great service!,294,24
2019-05-11,3,3,"This restaurant was quite nice. The ambiance was comfortable, and the service was satisfactory. The food was decent and met our expectations. It's a good place for a casual meal.",75,64
2016-09-29,4,4,Bringing my gf here next time hehe,311,42
2018-12-27,4,4,"Recently dined here and had a wonderful time. The atmosphere was cozy, the service was excellent, and the food was amazing. Highly recommend and will definitely be back!",202,113
2020-10-03,4,4,Great food,3,234
2021-06-27,4,4,Bringing my gf here next time hehe,243,171
