"version","generator","osm3s__timestamp_osm_base","osm3s__copyright","elements__type","elements__id","elements__nodes__001","elements__nodes__002","elements__nodes__003","elements__nodes__004","elements__nodes__005","elements__nodes__006","elements__nodes__007","elements__nodes__008","elements__nodes__009","elements__nodes__010","elements__nodes__011","elements__nodes__012","elements__nodes__013","elements__lat","elements__lon","elements__tags__addr:housename","elements__tags__addr:city","elements__tags__addr:country","elements__tags__addr:housenumber","elements__tags__addr:postcode","elements__tags__addr:province","elements__tags__addr:street","elements__tags__air_conditioning","elements__tags__addr:unit","elements__tags__alt_name","elements__tags__amenity","elements__tags__attribution","elements__tags__contact:phone","elements__tags__building","elements__tags__canvec:CODE","elements__tags__canvec:UUID","elements__tags__building:levels","elements__tags__brewery","elements__tags__capacity","elements__tags__brand","elements__tags__brand:wikidata","elements__tags__brand:wikipedia","elements__tags__brand:website","elements__tags__contact:facebook","elements__tags__bar","elements__tags__check_date","elements__tags__check_date:opening_hours","elements__tags__diet:vegan","elements__tags__diet:vegetarian","elements__tags__cuisine","elements__tags__disused","elements__tags__diet:halal","elements__tags__fixme","elements__tags__disused:amenity","elements__tags__drive_through","elements__tags__indoor_seating","elements__tags__disused:shop","elements__tags__highchair","elements__tags__llbo","elements__tags__level","elements__tags__email","elements__tags__delivery","elements__tags__internet_access","elements__tags__diet:gluten_free","elements__tags__name","elements__tags__name:zh","elements__tags__name:en","elements__tags__official_name","elements__tags__opening_hours","elements__tags__roof:levels","elements__tags__payment:american_express","elements__tags__payment:cash","elements__tags__payment:discover_card","elements__tags__payment:interac","elements__tags__payment:credit_cards","elements__tags__payment:debit_cards","elements__tags__payment:mastercard","elements__tags__payment:visa","elements__tags__outdoor_seating","elements__tags__phone","elements__tags__reservation","elements__tags__shop","elements__tags__source","elements__tags__twitter","elements__tags__smoking","elements__tags__toilets","elements__tags__toilets:wheelchair","elements__tags__takeaway","elements__tags__url","elements__tags__website","elements__tags__website:menu","elements__tags__website:en","elements__tags__website:fr","elements__tags__wheelchair"
"0.6","Overpass API 0.7.62.1 084b4234","2024-06-13T13:46:26Z","The data included in this document is from www.openstreetmap.org. The data is made available under ODbL.","node","387553804","","","","","","","","","","","","","","43.4448709","-80.5059939","","","","175","N2G 1R9","","West Avenue","","","","restaurant","","","","","","","","","","","","","","","2023-04-07","","","","chinese","","","","","","","","","","","","","","","Golden Dynasty Restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","420326591","","","","","","","","","","","","","","43.4666672","-80.5233533","","","","5","","","Princess Street West","","","","restaurant","","","","","","","","","","","","","","yes","2023-08-27","","yes","only","","","","","","","","","","","","","","","","The Jane Bond","","","","","","","","","","","","","","","+1-519-886-1689","","","","","","","","","http://www.janebond.ca/","http://www.janebond.ca/","","","","limited"
"","","","","node","421138265","","","","","","","","","","","","","","43.4540371","-80.4927948","","Kitchener","","87","N2H 5A6","","Water Street North","","","","restaurant","","","","","","","","","","","","","","","","","","yes","pizza","","","","","","","","","","","","yes","","","Pepi's Pizza","","","","Su-Th, PH 10:00-02:00; Fr-Sa 10:00-02:30","","","","","","","","","","no","+1 519-578-6640","","","","","","","","","","http://www.pepispizza.com/","","","",""
"","","","","node","497376121","","","","","","","","","","","","","","43.4290487","-80.4326883","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","steak_house","","","","","","","","","","","","","","","Charcoal Steakhouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","527377963","","","","","","","","","","","","","","43.4192957","-80.4427229","","","","509","","","Wilson Avenue","","1","","restaurant","","","","","","","","","Chuck's Roadhouse","","","https://www.chucksroadhouse.com/","","","","","","","american","","","","","","","","","","","","","","","Chuck's Roadhouse","","","","Su-Th 11:00-00:00; Fr-Sa 11:00-01:00","","","","","","","","","","","+1-519-895-2525","","","","","","","","","","https://www.chucksroadhouse.com","","","",""
"","","","","node","527377968","","","","","","","","","","","","","","43.4191903","-80.4433464","","","","509","","","Wilson Avenue","","7","","restaurant","","","","","","","","","Royal Paan","","","https://royalpaan.com/","https://www.facebook.com/BuynSellKW","","","","","","indian","","","","","","","","","","","","","","","Royal Paan","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","527377974","","","","","","","","","","","","","","43.4193605","-80.4438649","","","","509","","","Wilson Avenue","","16","","restaurant","","","","","","","","","","","","","","","","","","","indian","","","","","","","","","","","mchettinaad@gmail.com","","","","Madras Chettinadd","","","","Mo-Su off","","","","","","","","","","","+1 (226) 989-2767","","","","","","","","","","https://madraschettinaad.ca","","","",""
"","","","","node","613999295","","","","","","","","","","","","","","43.4541156","-80.4948218","","Kitchener","","79","N2H 5C1","","Victoria Street North","","","","restaurant","","","","","","","","","","","","","","","","","","","pizza","","","","","","","","","","","","","","","Papa Joe Pizzeria","","","","","","","","","","","","","","","+1-519-772-0200","","","","","","","","","","https://papajoepizzeria.ca","","","",""
"","","","","node","613999301","","","","","","","","","","","","","","43.4541521","-80.4946247","","","","79","N2H 5C1","","Victoria Street North","","","","restaurant","","","","","","","","","","","","","","","2023-07-31","","","","","","","","","","","","","","","","","","","J&B Family Restaurant","","","","","","","","","","","","","","","+1-519-568-8361","","","","","","","","","","https://www.jandbrestaurant.com","","","",""
"","","","","node","648487903","","","","","","","","","","","","","","43.4767907","-80.5413313","","Waterloo","","160","N2L 3L3","","Columbia Street West","","","","restaurant","","","","","","","","25","","","","","","","","","","","sandwich;pasta","","","","","","","","","","","","","","","Mambella's Italian Kitchen","","","","Mo-Fr 08:00-15:00","","","","","","","","","","","+1-519-885-2244","","","","","","","","yes","","https://www.mambellas.com/","","","",""
"","","","","node","778321957","","","","","","","","","","","","","","43.4630108","-80.5237109","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","2023-07-09","","","","thai","","","","","","","","","","","","","","","Thai Sun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","limited"
"","","","","node","836006481","","","","","","","","","","","","","","43.4579323","-80.4946607","","","","219","","","Louisa Street","","","","restaurant","","","","","","","","","","","","","","","2023-04-08","2024-04-25","","","american","","","","","","","","","","","","","","","Bud's Restaurant","","","","Mo-Sa 08:00-14:00; Su 09:00-14:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","836036529","","","","","","","","","","","","","","43.4498249","-80.4915966","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","2023-04-26","","","","international","","","","","","","","","","","","","","","Ellison's Bistro","","","","","","","","","","","","","","","","","","","","","","","","","http://www.ellisonsbistro.com/","","","",""
"","","","","node","984223184","","","","","","","","","","","","","","43.4460871","-80.5235949","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","chinese","","","","","","","","","","","","","","","Kim Seng","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","node","1136693035","","","","","","","","","","","","","","43.4236276","-80.4390674","","","","","","","","","","","restaurant","","","","","","","","","Jack Astor's","Q6111066","en:Jack Astor's Bar and Grill","","","","","","","","american","","","","","","","","","","","","","","","Jack Astor's","","","","Mo-Sa 11:00-24:00; Su 00:00-02:00,11:00-24:00","","","","","","","","","","","+1-519-748-1604","","","","","","","","","","http://jackastors.com/","","","",""
