id,object,result_position,address,booking_link,cid,country,city,category,description,email,facebook,has_owner,health,instagram,lat,lng,last_opening_hours_updated_at,main_image_url,menu,name,opening_hours,phone,plus_code,poi,price,popular_times,ratings,score,url,website,zero_x,zip_code,collected_at,input_url,input_language,input_max_results,input_details
"7682276","result","1","425 King St N, Waterloo, ON N2J 2Z5, Canada","https://wildcraft.ca/","9221134875274957412","Canada","Waterloo","Bar & grill, American restaurant, Family restaurant, Restaurant","Upbeat, contemporary Canadian grill with diverse wines, creative martinis & a large patio.","wildcraft@charcoalgroup.ca",,"t","f",,"43.4867761","-80.527609",,"https://lh5.googleusercontent.com/p/AF1QipOed-Q5H9mrd_dGjzXx0pMeNyN4DJF6novaj33u","http://www.wildcraft.ca/","Wildcraft Grill + Long Bar","Sunday 12–11 PM, Monday 11:30 AM–11 PM, Tuesday 11:30 AM–11 PM, Wednesday 11:30 AM–11 PM, Thursday 11:30 AM–12 AM, Friday 11:30 AM–12 AM, Saturday 12 PM–12 AM","+15198850117","FFPC+PX Waterloo, Ontario, Canada","Outdoor seating, Takeaway, Dine-in, Fireplace, Great bar food, Great cocktails, Live performances, Sport, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Food, Food at bar, Happy-hour food, Healthy options, Late-night food, Organic dishes, Private dining room, Quick bite, Small plates, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Transgender safe space, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Expensive","","2903","4.5","https://www.google.com/maps/place/Wildcraft+Grill+++Long+Bar/@43.48678,-80.52761/data=!3m1!4b1!4m6!3m5!1s0x882bf3ee868e0177:0x7ff80d503abad264!8m2!3d43.48678!4d-80.52761!16s%2Fg%2F1td4krw4","http://www.wildcraft.ca/","0x882bf3ee868e0177:0x7ff80d503abad264","N2J 2Z5","2024-07-08 01:47:56.673462+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682277","result","3","110 Erb St. W, Waterloo, ON N2L 1T5, Canada","https://proofwaterloo.com/?utm_source=google&utm_medium=organic&utm_campaign=google%20business%20profile&utm_term=reservation#reservations","12609782429117473169","Canada","Waterloo","Restaurant, Caterer, Cocktail bar, Event venue","Upscale-casual hotel eatery for steaks & eclectic comfort fare, weekend brunch & a bar.",,,"t","f",,"43.463273799999996","-80.5279877","Updated by this business 11 weeks ago","https://lh5.googleusercontent.com/p/AF1QipOppPnpNyxW0OyguT7ILBC0JsOo0JSww_iVHtre","https://proofwaterloo.com/menu/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle%2Bbusiness%2Bprofile%26utm_term%3Dmenu","Proof Kitchen + Lounge","Sunday 7–10 AM 11 AM–10 PM, Monday 7–10 AM 11:30 AM–11 PM, Tuesday 7–10 AM 11:30 AM–11 PM, Wednesday 7–10 AM 11:30 AM–11 PM, Thursday 7–10 AM 11:30 AM–11 PM, Friday 7–10 AM 11:30 AM–11 PM, Saturday 7–10 AM 11 AM–11 PM","+15192083333","FF7C+8R Waterloo, Ontario, Canada","Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Great cocktails, Great tea selection, Sport, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Halal food, Happy-hour food, Healthy options, Late-night food, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine, Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking, Valet parking","Moderately expensive","","1431","4.2","https://www.google.com/maps/place/Proof+Kitchen+++Lounge/@43.46327,-80.52799/data=!3m1!4b1!4m6!3m5!1s0x882bf411a161dddb:0xaefef24f4e826191!8m2!3d43.46327!4d-80.52799!16s%2Fg%2F11b6tvc0nn","https://proofwaterloo.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle%2Bbusiness%2Bprofile%26utm_term%3Dwebsite","0x882bf411a161dddb:0xaefef24f4e826191","N2L 1T5","2024-07-08 01:47:58.739253+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682278","result","4","187 King St S #102, Waterloo, ON N2J 1R1, Canada","https://www.thebauerkitchen.ca/","3349403905471585552","Canada","Waterloo","Restaurant, Bar","Creative cocktails & gourmet comfort food like duck confit wings & pizzettas in a refined ambience.","thebauerkitchen@charcoalgroup.ca, stephanies@charcoalgroup.ca","https://www.facebook.com/thebauerkitchen/","t","f","https://www.instagram.com/thebauerkitchen","43.4598078","-80.519053","Confirmed by phone call 1 week ago","https://lh5.googleusercontent.com/p/AF1QipPfxesDjpQCE92fgmybO5Ch15k9SZB1l7VAVRfD","http://www.thebauerkitchen.ca/eats","The Bauer Kitchen","Sunday 10 AM–11 PM, Monday 11 AM–11 PM, Tuesday 11 AM–11 PM, Wednesday 11 AM–11 PM, Thursday 11 AM–12 AM, Friday 11 AM–12 AM, Saturday 10 AM–12 AM","+15197720790","FF5J+W9 Waterloo, Ontario, Canada","Outdoor seating, Kerbside pickup, Takeaway, Dine-in, Great cocktails, Great tea selection, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Organic dishes, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Transgender safe space, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Expensive","","2768","4.4","https://www.google.com/maps/place/The+Bauer+Kitchen/@43.45981,-80.51905/data=!3m1!4b1!4m6!3m5!1s0x882bf46b7e2b8d33:0x2e7b791b2af09d10!8m2!3d43.45981!4d-80.51905!16s%2Fg%2F1tsr3vl2","http://www.thebauerkitchen.ca/","0x882bf46b7e2b8d33:0x2e7b791b2af09d10","N2J 1R1","2024-07-08 01:47:59.827478+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682279","result","2","83 Erb St. W Building Two, Waterloo, ON N2L 6C2, Canada","https://www.sole.ca/reservations/","16255873987648601342","Canada","Waterloo","Restaurant","Casual country-chic eatery pairing Mediterranean-inspired mains & pizza with wine & cocktails.",,"https://www.facebook.com/solerestaurant","t","f","https://www.instagram.com/soleuptown","43.463102","-80.52665499999999","Updated by this business 7 weeks ago","https://lh5.googleusercontent.com/p/AF1QipPRl-ZVAdF3DgssPJmglli-hijBCJYkfLAbIkk4","http://www.sole.ca/","Solé Uptown","Sunday 10:30 AM–11 PM, Monday 11:30 AM–11 PM, Tuesday 11:30 AM–11 PM, Wednesday 11:30 AM–11 PM, Thursday 11:30 AM–11 PM, Friday 11:30 AM–12 AM, Saturday 10:30 AM–12 AM","+15197475622","FF7F+68 Waterloo, Ontario, Canada","Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Fireplace, Great cocktails, Great tea selection, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Organic dishes, Small plates, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Expensive","","1196","4.4","https://www.google.com/maps/place/Solé+Uptown/@43.4631,-80.52665/data=!3m1!4b1!4m6!3m5!1s0x882bf4121bca2d37:0xe1987743b34ebcfe!8m2!3d43.4631!4d-80.52665!16s%2Fg%2F1wd3wph1","http://www.sole.ca/","0x882bf4121bca2d37:0xe1987743b34ebcfe","N2L 6C2","2024-07-08 01:47:57.740385+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682280","result","35","845 Weber St N, Waterloo, ON N2J 4G8, Canada","https://www.ubereats.com/ca/store/the-crazy-canuck-weber-st/Gy8OkrfMVYa96I3eTbZ05g?utm_campaign=place-action-link&utm_medium=organic&utm_source=google","4220073568216236499","Canada","Waterloo","Canadian restaurant, Hamburger restaurant","Offbeat counter-serve sandwich joint serving BBQ fare, gourmet pizzas & specialty poutines.",,,"t","f",,"43.5094845","-80.5577735","Updated by this business 6 days ago","https://lh5.googleusercontent.com/p/AF1QipPW_EAv1gPOvzkDeIHFSvRnZBfh8W7wrHA20ULu","http://www.thecrazycanuck.ca/%23menu","The Crazy Canuck","Sunday 11 AM–8 PM, Monday 11 AM–8 PM, Tuesday 11 AM–8 PM, Wednesday 11 AM–8 PM, Thursday 11 AM–8 PM, Friday 11 AM–8 PM, Saturday 11 AM–8 PM","+15197472729","GC5R+QV Waterloo, Ontario, Canada","Outdoor seating, Delivery, Takeaway, Dine-in, Fast service, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Coffee, Quick bite, Vegetarian options, Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating, Toilets, Casual, Cosy, Groups, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Moderately expensive","","1300","4.5","https://www.google.com/maps/place/The+Crazy+Canuck/@43.50948,-80.55777/data=!3m1!4b1!4m6!3m5!1s0x882bf170ce66012d:0x3a90b68d278b41d3!8m2!3d43.50948!4d-80.55777!16s%2Fg%2F12hnwpnjk","http://thecrazycanuck.ca/","0x882bf170ce66012d:0x3a90b68d278b41d3","N2J 4G8","2024-07-08 01:48:33.208739+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682281","result","44","20 Benjamin Rd, Waterloo, ON N2V 2J9, Canada","https://www.skipthedishes.com/jacks-family-restaurant?serviceType=collection&utm_source=google&utm_medium=organic&utm_campaign=foodorder","17429321754274393322","Canada","Waterloo","Family restaurant, Breakfast restaurant, Restaurant","Spacious establishment serving an array of standard homestyle dishes in a contemporary interior.",,"https://www.facebook.com/jacksfamilystjacobs","t","f","https://www.instagram.com/jacksfamilyrestaurant","43.5084436","-80.5559912",,"https://lh5.googleusercontent.com/p/AF1QipOOwvesk_plf8-KdoQdQttNjR9Qn1jEDYO_8aO_","http://www.jacksfamilyrestaurant.ca/breakfast-menu.html","Jack's Family Restaurant","Sunday 8 AM–8 PM, Monday Closed, Tuesday 8 AM–8 PM, Wednesday 8 AM–8 PM, Thursday 8 AM–8 PM, Friday 8 AM–8 PM, Saturday 8 AM–8 PM","+15197464800","GC5V+9J Waterloo, Ontario, Canada","Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Fast service, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Organic dishes, Quick bite, Spirits, Vegetarian options, Wine, Breakfast, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Family friendly, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Moderately expensive","","4041","4.5","https://www.google.com/maps/place/Jack's+Family+Restaurant/@43.50844,-80.55599/data=!3m1!4b1!4m6!3m5!1s0x882bf170bcbca0eb:0xf1e163ca7f836cea!8m2!3d43.50844!4d-80.55599!16s%2Fg%2F1trxkxtd","http://www.jacksfamilyrestaurant.ca/","0x882bf170bcbca0eb:0xf1e163ca7f836cea","N2V 2J9","2024-07-08 01:48:42.58295+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682282","result","11","47 King St N, Waterloo, ON N2J 2W9, Canada","https://whiterabbitwaterloo.com/pages/hop-house-reservations","3497411315025370303","Canada","Waterloo","Restaurant","Craft cocktails & creative gastropub eats offered in a relaxed, trendy atmosphere.","info@whiterabbitwaterloo.com, devon@whiterabbitwaterloo.com","https://www.facebook.com/whiterabbituptownwaterloo","t","f","https://www.instagram.com/whiterabbitwaterloo","43.4664534","-80.5228846",,"https://lh5.googleusercontent.com/p/AF1QipOUJ9t6-90TQ81OWKojBnd7jNmJMupnSUPscBFQ","http://places.singleplatform.com/the-white-rabbit-2/menu%3Fref%3Dgoogle","The White Rabbit","Sunday 5–11 PM, Monday Closed, Tuesday 5 PM–2 AM, Wednesday 5 PM–2 AM, Thursday 5 PM–2 AM, Friday 5 PM–2 AM, Saturday 5 PM–2 AM","+15197467540","FF8G+HR Waterloo, Ontario, Canada","Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Great cocktails, Live music, Sport, Alcohol, Beer, Cocktails, Coffee, Late-night food, Small plates, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Free street parking","Moderately expensive","","1049","4.4","https://www.google.com/maps/place/The+White+Rabbit/@43.46645,-80.52288/data=!3m1!4b1!4m6!3m5!1s0x882bf40d22f82acb:0x30894d0f9984dcbf!8m2!3d43.46645!4d-80.52288!16s%2Fg%2F11bccm7sq4","https://whiterabbitwaterloo.com/","0x882bf40d22f82acb:0x30894d0f9984dcbf","N2J 2W9","2024-07-08 01:48:06.820023+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682283","result","5","Square, 75 King St S Unit 37, Waterloo, ON N2J 1P2, Canada","https://www.beertown.ca/","12636251536426362080","Canada","Waterloo","Restaurant, Bar, Bar & grill, Beer garden",,,,"t","f",,"43.4639678","-80.5227484",,"https://lh5.googleusercontent.com/p/AF1QipOPx8_LeMc624dh_zNLxTxqS8QH1Ob4jN-pHCeG","http://beertown.ca/food","Beertown Public House Waterloo","Sunday 11:30 AM–12 AM, Monday 11 AM–12 AM, Tuesday 11 AM–12 AM, Wednesday 11 AM–12 AM, Thursday 11 AM–12 AM, Friday 11 AM–1 AM, Saturday 11:30 AM–1 AM","+15198855151","FF7G+HW Waterloo, Ontario, Canada","Outdoor seating, Kerbside pickup, Takeaway, Dine-in, Fast service, Great cocktails, Sport, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Organic dishes, Small plates, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Catering, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Family friendly, Groups, Accepts reservations, Credit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Moderately expensive","","3269","4.3","https://www.google.com/maps/place/Beertown+Public+House+Waterloo/@43.46397,-80.52275/data=!3m1!4b1!4m6!3m5!1s0x882bf412bb808bcb:0xaf5cfbd2992d64e0!8m2!3d43.46397!4d-80.52275!16s%2Fg%2F12hqzvdjv","http://www.beertown.ca/","0x882bf412bb808bcb:0xaf5cfbd2992d64e0","N2J 1P2","2024-07-08 01:48:00.848585+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682284","result","53","384 King St N, Waterloo, ON N2J 2Z3, Canada","https://www.google.com/maps/reserve/v/dine/c/9dacu8n5ZG0?source=pa&opi=79508299","3764626037623531435","Canada","Waterloo","Italian restaurant, Restaurant","Classic Italian entrees & pizza served with imported wine in warm surrounds with an old-timey vibe.","kitchener@enniospasta.ca, waterloo@enniospasta.ca","http://www.facebook.com/enniospastahouse, https://www.facebook.com/enniospastahouse","t","f","https://www.instagram.com/enniospasta","43.4833889","-80.52604439999999",,"https://lh5.googleusercontent.com/p/AF1QipMTCByQsz1jZJb6wtysz8NXCNTC5XnrrRDwjn_3","https://www.enniospasta.ca/menu/","Ennio's Pasta House","Sunday 3:30–9 PM, Monday 3:30–9 PM, Tuesday 3:30–9 PM, Wednesday 12–9 PM, Thursday 12–9 PM, Friday 12–10 PM, Saturday 12–10 PM","+15198930543","FFMF+9H Waterloo, Ontario, Canada","Outdoor seating, Delivery, Takeaway, Dine-in, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Vegetarian options, Wine, Lunch, Dinner, Catering, Dessert, Seating, Bar on site, Toilets, Casual, Cosy, Romantic, Upmarket, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Moderately expensive","","1538","4.4","https://www.google.com/maps/place/Ennio's+Pasta+House/@43.48339,-80.52604/data=!3m1!4b1!4m6!3m5!1s0x882bf3f20e35f4e9:0x343ea36f74bca7ab!8m2!3d43.48339!4d-80.52604!16s%2Fg%2F1tlgyl97","https://enniospasta.ca/","0x882bf3f20e35f4e9:0x343ea36f74bca7ab","N2J 2Z3","2024-07-08 01:48:51.574949+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
"7682285","result","7","578 Weber St N Unit L01, Waterloo, ON N2L 0C7, Canada","https://www.stateandmain.ca/en/locations/on/waterloo/578-weber-street-north","8839679854449670060","Canada","Waterloo","Restaurant",,,,"t","f",,"43.496524","-80.5494559","Confirmed by this business 12 weeks ago","https://lh5.googleusercontent.com/p/AF1QipNWJdCjtGfvr2eRZP37lAX3HuIeE0KfY3X6ERkC","https://www.stateandmain.ca/en/menus.html%3Fs%3D8431","State & Main","Sunday 11 AM–11 PM, Monday 11 AM–11 PM, Tuesday 11 AM–11 PM, Wednesday 11 AM–11 PM, Thursday 11 AM–12 AM, Friday 11 AM–12 AM, Saturday 11 AM–12 AM","+12268060728","FFW2+J6 Waterloo, Ontario, Canada","Delivery, Takeaway, Dine-in, Great cocktails, Sport, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Happy-hour food, Healthy options, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Toilets, Casual, Cosy, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Moderately expensive","","620","4.4","https://www.google.com/maps/place/State+&+Main/@43.49652,-80.54946/data=!3m1!4b1!4m6!3m5!1s0x882bf1a048e589ad:0x7aacd9fe34a637ac!8m2!3d43.49652!4d-80.54946!16s%2Fg%2F11h88kwb3z","https://www.stateandmain.ca/en/locations/on/waterloo/578-weber-street-north","0x882bf1a048e589ad:0x7aacd9fe34a637ac","N2L 0C7","2024-07-08 01:48:02.857319+00","https://www.google.com/maps/search/restaurants+in+Waterloo,+ON/@43.4657468,-80.5339136,15z/data=!3m1!4b1?hl=en-US&entry=ttu","en","200","t"
