id,object,result_position,address,booking_link,cid,country,city,category,description,email,facebook,has_owner,health,instagram,lat,lng,last_opening_hours_updated_at,main_image_url,menu,name,opening_hours,phone,plus_code,poi,price,popular_times,ratings,score,url,website,zero_x,zip_code,collected_at,input_url,input_language,input_max_results,input_collect_contacts,input_details
"7057727","result","106","Canada",,"8140329264301088265","Canada",,"",,"serviceontarioaccessibilityrequests@ontario.ca, feedback@ontario.ca","https://www.facebook.com/serviceontario","t","f",,"51.253775","-85.323214",,"https://lh5.googleusercontent.com/p/AF1QipMi0kepJzt8JzrfrBn93fey0z4iS9pmgtdMnvnH",,"Ontario","",,,"",,"",,,"https://www.google.com/maps/place/Ontario/@51.25377,-85.32321/data=!3m1!4b1!4m6!3m5!1s0x4cce05b25f5113af:0x70f8425629621e09!8m2!3d51.25377!4d-85.32321!16s%2Fm%2F05kr_","http://www.ontario.ca/","0x4cce05b25f5113af:0x70f8425629621e09",,"2024-07-07 21:14:38.112027+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7309997","result","183","Belvedere Rd, Royal Festival Hall, London SE1 8XX, United Kingdom","https://www.opentable.co.uk/restaurant/profile/82351?ref=4208","17225944881880307659","United Kingdom","London","Modern European restaurant, Bar & grill, British restaurant","Floor-to-ceiling windows frame river views at this airy Modern European with 1950s design touches.","skylonreservations@danddlondon.com","https://www.facebook.com/skylonrestaurant","t","f","https://www.instagram.com/skylonrestaurant","51.505722","-0.1174495","Updated by this business 6 weeks ago","https://lh5.googleusercontent.com/p/AF1QipPyfDaQVq7UpgFNZn06YKtP1-NjvyoIRJCQBz98","http://www.skylon-restaurant.co.uk/at/menus/","Skylon","Sunday 12–11 PM, Monday 12–11 PM, Tuesday 12–11 PM, Wednesday 12 PM–12 AM, Thursday 12 PM–12 AM, Friday 12 PM–12 AM, Saturday 11:30 AM–12 AM","+442076547800","GV4M+72 London, United Kingdom","Outdoor seating, Dine-in, Great tea selection, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Late-night food, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Romantic, Upmarket, Family friendly, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Paid street parking, Parking","Expensive","","1192","3.9","https://www.google.com/maps/place/Skylon/@51.50572,-0.11745/data=!3m1!4b1!4m6!3m5!1s0x487604b7e7c78711:0xef0ed99a64ef17cb!8m2!3d51.50572!4d-0.11745!16s%2Fg%2F1tftqkmp","http://www.skylon-restaurant.co.uk/","0x487604b7e7c78711:0xef0ed99a64ef17cb","SE1 8XX","2024-07-07 21:18:31.15713+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7620042","result","151","33 Coin St, London SE1 9NR, United Kingdom","https://www.stickymango.co.uk/reservation/","3872722914240785134","United Kingdom","London","Southeast Asian restaurant, Thai restaurant","Sophisticated restaurant serving contemporary South-East Asian dishes in an ornate setting.","user@domain.com., groupsandevents@stickymango.co.uk",,"t","f","https://www.instagram.com/stickymangoldn","51.506082899999996","-0.10982489999999999",,"https://lh5.googleusercontent.com/p/AF1QipNeWVvScbsXuQkfr7T8TDshcJWWwXNb3XA5De8Q","https://www.stickymango.co.uk/menus","Sticky Mango","Sunday 12–9 PM, Monday 5–10 PM, Tuesday 12–2:30 PM 5–10 PM, Wednesday 12–2:30 PM 5–10 PM, Thursday 12–2:30 PM 5–10 PM, Friday 12–2:30 PM 5–10 PM, Saturday 12–11:30 PM","+442079284554","GV4R+C3 London, United Kingdom","Delivery, Takeaway, Dine-in, Great tea selection, Wheelchair-accessible entrance, Wheelchair-accessible seating, Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Small plates, Spirits, Vegan options, Vegetarian options, Wine, Lunch, Dinner, Dessert, Seating, Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Romantic, Upmarket, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards","Moderately expensive","","1012","4.2","https://www.google.com/maps/place/Sticky+Mango/@51.50608,-0.10982/data=!3m1!4b1!4m6!3m5!1s0x487604b0ddc1c0c7:0x35beacf8d0d66aee!8m2!3d51.50608!4d-0.10982!16s%2Fg%2F11c1vl0lnr","http://www.stickymango.co.uk/","0x487604b0ddc1c0c7:0x35beacf8d0d66aee","SE1 9NR","2024-07-07 21:16:49.560318+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7682276","result","1","425 King St N, Waterloo, ON N2J 2Z5, Canada","https://wildcraft.ca/","9221134875274957412","Canada","Waterloo","Bar & grill, American restaurant, Family restaurant, Restaurant","Upbeat, contemporary Canadian grill with diverse wines, creative martinis & a large patio.","wildcraft@charcoalgroup.ca",,"t","f",,"43.4867761","-80.527609",,"https://lh5.googleusercontent.com/p/AF1QipOed-Q5H9mrd_dGjzXx0pMeNyN4DJF6novaj33u","http://www.wildcraft.ca/","Wildcraft Grill + Long Bar","Sunday 12–11 PM, Monday 11:30 AM–11 PM, Tuesday 11:30 AM–11 PM, Wednesday 11:30 AM–11 PM, Thursday 11:30 AM–12 AM, Friday 11:30 AM–12 AM, Saturday 12 PM–12 AM","+15198850117","FFPC+PX Waterloo, Ontario, Canada","Outdoor seating, Takeaway, Dine-in, Fireplace, Great bar food, Great cocktails, Live performances, Sport, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Food, Food at bar, Happy-hour food, Healthy options, Late-night food, Organic dishes, Private dining room, Quick bite, Small plates, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Transgender safe space, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Expensive","","2903","4.5","https://www.google.com/maps/place/Wildcraft+Grill+++Long+Bar/@43.48678,-80.52761/data=!3m1!4b1!4m6!3m5!1s0x882bf3ee868e0177:0x7ff80d503abad264!8m2!3d43.48678!4d-80.52761!16s%2Fg%2F1td4krw4","http://www.wildcraft.ca/","0x882bf3ee868e0177:0x7ff80d503abad264","N2J 2Z5","2024-07-07 21:21:35.409314+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7682277","result","2","110 Erb St. W, Waterloo, ON N2L 1T5, Canada","https://proofwaterloo.com/?utm_source=google&utm_medium=organic&utm_campaign=google%20business%20profile&utm_term=reservation#reservations","12609782429117473169","Canada","Waterloo","Restaurant, Caterer, Cocktail bar, Event venue","Upscale-casual hotel eatery for steaks & eclectic comfort fare, weekend brunch & a bar.",,,"t","f",,"43.463273799999996","-80.5279877","Updated by this business 11 weeks ago","https://lh5.googleusercontent.com/p/AF1QipOppPnpNyxW0OyguT7ILBC0JsOo0JSww_iVHtre","https://proofwaterloo.com/menu/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle%2Bbusiness%2Bprofile%26utm_term%3Dmenu","Proof Kitchen + Lounge","Sunday 7–10 AM 11 AM–10 PM, Monday 7–10 AM 11:30 AM–11 PM, Tuesday 7–10 AM 11:30 AM–11 PM, Wednesday 7–10 AM 11:30 AM–11 PM, Thursday 7–10 AM 11:30 AM–11 PM, Friday 7–10 AM 11:30 AM–11 PM, Saturday 7–10 AM 11 AM–11 PM","+15192083333","FF7C+8R Waterloo, Ontario, Canada","Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Great cocktails, Great tea selection, Sport, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Halal food, Happy-hour food, Healthy options, Late-night food, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine, Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking, Valet parking","Moderately expensive","","1430","4.2","https://www.google.com/maps/place/Proof+Kitchen+++Lounge/@43.46327,-80.52799/data=!3m1!4b1!4m6!3m5!1s0x882bf411a161dddb:0xaefef24f4e826191!8m2!3d43.46327!4d-80.52799!16s%2Fg%2F11b6tvc0nn","https://proofwaterloo.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle%2Bbusiness%2Bprofile%26utm_term%3Dwebsite","0x882bf411a161dddb:0xaefef24f4e826191","N2L 1T5","2024-07-07 21:19:34.008479+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7682278","result","3","187 King St S #102, Waterloo, ON N2J 1R1, Canada","https://www.thebauerkitchen.ca/","3349403905471585552","Canada","Waterloo","Restaurant, Bar","Creative cocktails & gourmet comfort food like duck confit wings & pizzettas in a refined ambience.","stephanies@charcoalgroup.ca, thebauerkitchen@charcoalgroup.ca","https://www.facebook.com/thebauerkitchen/","t","f","https://www.instagram.com/thebauerkitchen","43.4598078","-80.519053","Confirmed by phone call 1 week ago","https://lh5.googleusercontent.com/p/AF1QipPfxesDjpQCE92fgmybO5Ch15k9SZB1l7VAVRfD","http://www.thebauerkitchen.ca/eats","The Bauer Kitchen","Sunday 10 AM–11 PM, Monday 11 AM–11 PM, Tuesday 11 AM–11 PM, Wednesday 11 AM–11 PM, Thursday 11 AM–12 AM, Friday 11 AM–12 AM, Saturday 10 AM–12 AM","+15197720790","FF5J+W9 Waterloo, Ontario, Canada","Outdoor seating, Kerbside pickup, Takeaway, Dine-in, Great cocktails, Great tea selection, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Organic dishes, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Transgender safe space, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Expensive","","2768","4.4","https://www.google.com/maps/place/The+Bauer+Kitchen/@43.45981,-80.51905/data=!3m1!4b1!4m6!3m5!1s0x882bf46b7e2b8d33:0x2e7b791b2af09d10!8m2!3d43.45981!4d-80.51905!16s%2Fg%2F1tsr3vl2","http://www.thebauerkitchen.ca/","0x882bf46b7e2b8d33:0x2e7b791b2af09d10","N2J 1R1","2024-07-07 21:19:32.779956+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7682279","result","4","83 Erb St. W Building Two, Waterloo, ON N2L 6C2, Canada","https://www.sole.ca/reservations/","16255873987648601342","Canada","Waterloo","Restaurant","Casual country-chic eatery pairing Mediterranean-inspired mains & pizza with wine & cocktails.",,"https://www.facebook.com/solerestaurant","t","f","https://www.instagram.com/soleuptown","43.463102","-80.52665499999999","Updated by this business 7 weeks ago","https://lh5.googleusercontent.com/p/AF1QipPRl-ZVAdF3DgssPJmglli-hijBCJYkfLAbIkk4","http://www.sole.ca/","Solé Uptown","Sunday 10:30 AM–11 PM, Monday 11:30 AM–11 PM, Tuesday 11:30 AM–11 PM, Wednesday 11:30 AM–11 PM, Thursday 11:30 AM–11 PM, Friday 11:30 AM–12 AM, Saturday 10:30 AM–12 AM","+15197475622","FF7F+68 Waterloo, Ontario, Canada","Outdoor seating, Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Fireplace, Great cocktails, Great tea selection, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Late-night food, Organic dishes, Small plates, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Cosy, Romantic, Upmarket, Family friendly, Groups, LGBTQ+ friendly, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Expensive","","1196","4.4","https://www.google.com/maps/place/Solé+Uptown/@43.4631,-80.52665/data=!3m1!4b1!4m6!3m5!1s0x882bf4121bca2d37:0xe1987743b34ebcfe!8m2!3d43.4631!4d-80.52665!16s%2Fg%2F1wd3wph1","http://www.sole.ca/","0x882bf4121bca2d37:0xe1987743b34ebcfe","N2L 6C2","2024-07-07 21:20:07.212762+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7682280","result","5","845 Weber St N, Waterloo, ON N2J 4G8, Canada","https://www.ubereats.com/ca/store/the-crazy-canuck-weber-st/Gy8OkrfMVYa96I3eTbZ05g?utm_campaign=place-action-link&utm_medium=organic&utm_source=google","4220073568216236499","Canada","Waterloo","Canadian restaurant, Hamburger restaurant","Offbeat counter-serve sandwich joint serving BBQ fare, gourmet pizzas & specialty poutines.",,,"t","f",,"43.5094845","-80.5577735","Updated by this business 6 days ago","https://lh5.googleusercontent.com/p/AF1QipPW_EAv1gPOvzkDeIHFSvRnZBfh8W7wrHA20ULu","http://www.thecrazycanuck.ca/%23menu","The Crazy Canuck","Sunday 11 AM–8 PM, Monday 11 AM–8 PM, Tuesday 11 AM–8 PM, Wednesday 11 AM–8 PM, Thursday 11 AM–8 PM, Friday 11 AM–8 PM, Saturday 11 AM–8 PM","+15197472729","GC5R+QV Waterloo, Ontario, Canada","Outdoor seating, Delivery, Takeaway, Dine-in, Fast service, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Coffee, Quick bite, Vegetarian options, Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating, Toilets, Casual, Cosy, Groups, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Moderately expensive","sundays: 6 am 0, 7 am 0, 8 am 0, 9 am 0, 10 am 0, 11 am 25, 12 pm 47, 1 pm 65, 2 pm 65, 3 pm 61, 4 pm 52, 5 pm 48, 6 pm 39, 7 pm 25, 8 pm 0, 9 pm 0, 10 pm 0, 11 pm 0, mondays: closed, tuesdays: 6 am 0, 7 am 0, 8 am 0, 9 am 0, 10 am 0, 11 am 17, 12 pm 23, 1 pm 19, 2 pm 15, 3 pm 9, 4 pm 14, 5 pm 25, 6 pm 34, 7 pm 30, 8 pm 0, 9 pm 0, 10 pm 0, 11 pm 0, wednesdays: 6 am 0, 7 am 0, 8 am 0, 9 am 0, 10 am 0, 11 am 12, 12 pm 20, 1 pm 18, 2 pm 13, 3 pm 8, 4 pm 15, 5 pm 26, 6 pm 28, 7 pm 21, 8 pm 0, 9 pm 0, 10 pm 0, 11 pm 0, thursdays: 6 am 0, 7 am 0, 8 am 0, 9 am 0, 10 am 0, 11 am 25, 12 pm 31, 1 pm 27, 2 pm 24, 3 pm 21, 4 pm 32, 5 pm 39, 6 pm 49, 7 pm 31, 8 pm 0, 9 pm 0, 10 pm 0, 11 pm 0, fridays: 6 am 0, 7 am 0, 8 am 0, 9 am 0, 10 am 0, 11 am 38, 12 pm 49, 1 pm 46, 2 pm 35, 3 pm 25, 4 pm 23, 5 pm 28, 6 pm 31, 7 pm 24, 8 pm 0, 9 pm 0, 10 pm 0, 11 pm 0, saturdays: 6 am 0, 7 am 0, 8 am 0, 9 am 0, 10 am 0, 11 am 49, 12 pm 87, 1 pm 100, 2 pm 85, 3 pm 69, 4 pm 56, 5 pm 51, 6 pm 41, 7 pm 26, 8 pm 0, 9 pm 0, 10 pm 0, 11 pm 0","1300","4.5","https://www.google.com/maps/place/The+Crazy+Canuck/@43.50948,-80.55777/data=!3m1!4b1!4m6!3m5!1s0x882bf170ce66012d:0x3a90b68d278b41d3!8m2!3d43.50948!4d-80.55777!16s%2Fg%2F12hnwpnjk","http://thecrazycanuck.ca/","0x882bf170ce66012d:0x3a90b68d278b41d3","N2J 4G8","2024-07-07 21:08:10.845872+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7682281","result","6","20 Benjamin Rd, Waterloo, ON N2V 2J9, Canada","https://www.skipthedishes.com/jacks-family-restaurant?serviceType=collection&utm_source=google&utm_medium=organic&utm_campaign=foodorder","17429321754274393322","Canada","Waterloo","Family restaurant, Breakfast restaurant, Restaurant","Spacious establishment serving an array of standard homestyle dishes in a contemporary interior.",,"https://www.facebook.com/jacksfamilystjacobs","t","f","https://www.instagram.com/jacksfamilyrestaurant","43.5084436","-80.5559912",,"https://lh5.googleusercontent.com/p/AF1QipOOwvesk_plf8-KdoQdQttNjR9Qn1jEDYO_8aO_","http://www.jacksfamilyrestaurant.ca/breakfast-menu.html","Jack's Family Restaurant","Sunday 8 AM–8 PM, Monday Closed, Tuesday 8 AM–8 PM, Wednesday 8 AM–8 PM, Thursday 8 AM–8 PM, Friday 8 AM–8 PM, Saturday 8 AM–8 PM","+15197464800","GC5V+9J Waterloo, Ontario, Canada","Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Fast service, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Coffee, Healthy options, Organic dishes, Quick bite, Spirits, Vegetarian options, Wine, Breakfast, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Family friendly, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Good for kids, High chairs, Kids' menu, Free parking lot, Free street parking, Parking","Moderately expensive","","4041","4.5","https://www.google.com/maps/place/Jack's+Family+Restaurant/@43.50844,-80.55599/data=!3m1!4b1!4m6!3m5!1s0x882bf170bcbca0eb:0xf1e163ca7f836cea!8m2!3d43.50844!4d-80.55599!16s%2Fg%2F1trxkxtd","http://www.jacksfamilyrestaurant.ca/","0x882bf170bcbca0eb:0xf1e163ca7f836cea","N2V 2J9","2024-07-07 21:23:49.181421+00","https://www.google.com/maps/search/restaurants+in+waterloo+on/@43.4753231,-80.540441,17z/data=!3m1!4b1?entry=ttu","en","200","t","t"
"7682282","result","41","47 King St N, Waterloo, ON N2J 2W9, Canada","https://whiterabbitwaterloo.com/pages/hop-house-reservations","3497411315025370303","Canada","Waterloo","Restaurant","Craft cocktails & creative gastropub eats offered in a relaxed, trendy atmosphere.","devon@whiterabbitwaterloo.com, info@whiterabbitwaterloo.com","https://www.facebook.com/whiterabbituptownwaterloo","t","f","https://www.instagram.com/whiterabbitwaterloo","43.4664534","-80.5228846",,"https://lh5.googleusercontent.com/p/AF1QipOUJ9t6-90TQ81OWKojBnd7jNmJMupnSUPscBFQ","http://places.singleplatform.com/the-white-rabbit-2/menu%3Fref%3Dgoogle","The White Rabbit","Sunday 5–11 PM, Monday Closed, Tuesday 5 PM–2 AM, Wednesday 5 PM–2 AM, Thursday 5 PM–2 AM, Friday 5 PM–2 AM, Saturday 5 PM–2 AM","+15197467540","FF8G+HR Waterloo, Ontario, Canada","Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in, Great cocktails, Live music, Sport, Alcohol, Beer, Cocktails, Coffee, Late-night food, Small plates, Spirits, Vegetarian options, Wine, Brunch, Lunch, Dinner, Dessert, Seating, Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, Wi-Fi, Casual, Cosy, Groups, Accepts reservations, Credit cards, Debit cards, Mobile Wallets, Credit cards, Free street parking","Moderately expensive","","1049","4.4","https://www.google.com/maps/place/The+White+Rabbit/@43.46645,-80.52288/data=!3m1!4b1!4m6!3m5!1s0x882bf40d22f82acb:0x30894d0f9984dcbf!8m2!3d43.46645!4d-80.52288!16s%2Fg%2F11bccm7sq4","https://whiterabbitwaterloo.com/","0x882bf40d22f82acb:0x30894d0f9984dcbf","N2J 2W9","2024-07-07 21:21:40.489413+00","https://www.google.com/maps/search/restaurants+in+kitchener+ontario/@43.4420619,-80.5258132,11z/data=!3m1!4b1?entry=ttu","en","200","t","t"
